,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
25,Nick Markakis,15,162,623,78,185,43,2,14,93,72,80,1,1,.297
 ,Manny Machado,9,162,632,84,188,35,3,37,107,70,104,14,2,.297
 ,Nolan Arenado,8,156,590,104,175,38,2,38,110,73,122,2,2,.297
 ,Miguel Andujar,4,149,573,83,170,47,2,27,92,25,97,2,1,.297
29,David Freese,11,113,280,38,83,12,2,11,51,24,72,0,0,.296
 ,Mallex Smith,5,141,480,65,142,27,10,2,40,47,98,40,12,.296
31,Matt Duffy,5,132,503,59,148,22,1,4,44,47,93,12,6,.294
32,David Peralta,7,146,560,75,164,25,5,30,87,48,124,4,0,.293
 ,Ronald Acuna Jr.,3,111,433,78,127,26,4,26,64,45,123,16,5,.293
34,Andrelton Simmons,6,146,554,68,162,26,5,11,75,35,44,10,2,.292
 ,Juan Soto,3,116,414,77,121,25,1,22,70,79,99,5,2,.292
36,Charlie Blackmon,10,156,626,119,182,31,7,29,70,59,134,12,4,.291
 ,Trevor Story,5,157,598,88,174,42,6,37,108,47,168,27,6,.291
 ,Yuli Gurriel,5,136,537,70,156,33,1,13,85,23,63,5,1,.291
39,Matt Kemp,15,146,462,62,134,25,0,21,85,36,115,0,0,.290
 ,Paul Goldschmidt,10,158,593,95,172,35,5,33,83,90,173,7,4,.290
 ,Javier Baez,7,160,606,101,176,40,9,34,111,29,167,21,9,.290
 ,Andrew Benintendi,5,148,579,103,168,41,6,16,87,71,106,21,3,.290
43,Xander Bogaerts,8,136,513,72,148,45,3,23,103,55,102,8,2,.288
 ,Eddie Rosario,6,138,559,87,161,31,2,24,77,30,104,8,2,.288
 ,Jose Peraza,6,157,632,85,182,31,4,14,58,29,75,23,6,.288
 ,Jorge Polanco,7,77,302,38,87,18,3,6,42,25,62,7,7,.288
47,Albert Almora Jr.,5,152,444,62,127,24,1,5,41,24,83,1,3,.286
 ,Elias Diaz,6,82,252,33,72,12,0,10,34,21,40,0,1,.286
 ,Alex Bregman,5,157,594,105,170,51,1,31,103,96,85,10,4,.286
50,Mitch Haniger,4,157,596,90,170,38,4,26,93,70,148,8,2,.285
1,Mookie Betts,7,136,520,129,180,47,5,32,80,81,91,30,6,.346
2,J.D. Martinez,10,150,569,111,188,37,2,43,130,69,146,6,1,.330
3,Jeff McNeil,3,63,225,35,74,11,6,3,19,14,24,7,1,.329
4,Christian Yelich,8,147,574,118,187,34,7,36,110,68,135,22,4,.326
5,Jose Altuve,10,137,534,84,169,29,2,13,61,55,79,17,4,.316
6,Justin Turner,12,103,365,62,114,31,1,14,52,47,54,2,1,.312
 ,Mike Trout,10,140,471,101,147,24,4,39,79,122,124,24,2,.312
8,Scooter Gennett,7,154,584,86,181,30,3,23,92,42,125,4,2,.310
9,Michael Brantley,12,143,570,89,176,36,2,17,76,48,60,12,3,.309
 ,Freddie Freeman,11,162,618,94,191,44,4,23,98,76,132,10,3,.309
11,Lorenzo Cain,11,141,539,90,166,25,2,10,38,71,94,30,7,.308
 ,Anthony Rendon,8,136,529,88,163,44,2,24,92,55,82,2,1,.308
13,Wilson Ramos,11,111,382,39,117,22,1,15,70,32,80,0,0,.306
14,Ben Zobrist,14,139,455,67,139,28,3,9,58,55,60,3,4,.305
 ,Jose Martinez,5,152,534,64,163,30,0,17,83,49,104,0,3,.305
16,Jean Segura,9,144,586,91,178,29,3,10,63,32,69,20,11,.304
 ,Whit Merrifield,5,158,632,88,192,43,3,12,60,61,114,45,10,.304
18,Robinson Cano,16,80,310,44,94,22,0,10,50,32,47,0,0,.303
19,Adam Eaton,9,95,319,55,96,18,1,5,33,38,64,9,1,.301
20,Corey Dickerson,8,135,504,65,151,35,7,13,55,21,80,8,3,.300
 ,Joey Wendle,5,139,487,62,146,33,6,7,61,37,96,16,4,.300
22,Daniel Murphy,12,91,328,40,98,15,0,12,42,20,40,3,0,.299
 ,Jesse Winker,4,89,281,38,84,16,0,7,43,49,46,0,0,.299
24,Nick Castellanos,8,157,620,88,185,46,5,23,89,49,151,2,1,.298
25,Nick Markakis,15,162,623,78,185,43,2,14,93,72,80,1,1,.297
 ,Manny Machado,9,162,632,84,188,35,3,37,107,70,104,14,2,.297
 ,Nolan Arenado,8,156,590,104,175,38,2,38,110,73,122,2,2,.297
 ,Miguel Andujar,4,149,573,83,170,47,2,27,92,25,97,2,1,.297
29,David Freese,11,113,280,38,83,12,2,11,51,24,72,0,0,.296
 ,Mallex Smith,5,141,480,65,142,27,10,2,40,47,98,40,12,.296
31,Matt Duffy,5,132,503,59,148,22,1,4,44,47,93,12,6,.294
32,David Peralta,7,146,560,75,164,25,5,30,87,48,124,4,0,.293
 ,Ronald Acuna Jr.,3,111,433,78,127,26,4,26,64,45,123,16,5,.293
34,Andrelton Simmons,6,146,554,68,162,26,5,11,75,35,44,10,2,.292
 ,Juan Soto,3,116,414,77,121,25,1,22,70,79,99,5,2,.292
36,Charlie Blackmon,10,156,626,119,182,31,7,29,70,59,134,12,4,.291
 ,Trevor Story,5,157,598,88,174,42,6,37,108,47,168,27,6,.291
 ,Yuli Gurriel,5,136,537,70,156,33,1,13,85,23,63,5,1,.291
39,Matt Kemp,15,146,462,62,134,25,0,21,85,36,115,0,0,.290
 ,Paul Goldschmidt,10,158,593,95,172,35,5,33,83,90,173,7,4,.290
 ,Javier Baez,7,160,606,101,176,40,9,34,111,29,167,21,9,.290
 ,Andrew Benintendi,5,148,579,103,168,41,6,16,87,71,106,21,3,.290
43,Xander Bogaerts,8,136,513,72,148,45,3,23,103,55,102,8,2,.288
 ,Eddie Rosario,6,138,559,87,161,31,2,24,77,30,104,8,2,.288
 ,Jose Peraza,6,157,632,85,182,31,4,14,58,29,75,23,6,.288
 ,Jorge Polanco,7,77,302,38,87,18,3,6,42,25,62,7,7,.288
47,Albert Almora Jr.,5,152,444,62,127,24,1,5,41,24,83,1,3,.286
 ,Elias Diaz,6,82,252,33,72,12,0,10,34,21,40,0,1,.286
 ,Alex Bregman,5,157,594,105,170,51,1,31,103,96,85,10,4,.286
50,Mitch Haniger,4,157,596,90,170,38,4,26,93,70,148,8,2,.285
1,Mookie Betts,7,136,520,129,180,47,5,32,80,81,91,30,6,.346
2,J.D. Martinez,10,150,569,111,188,37,2,43,130,69,146,6,1,.330
3,Jeff McNeil,3,63,225,35,74,11,6,3,19,14,24,7,1,.329
4,Christian Yelich,8,147,574,118,187,34,7,36,110,68,135,22,4,.326
5,Jose Altuve,10,137,534,84,169,29,2,13,61,55,79,17,4,.316
6,Justin Turner,12,103,365,62,114,31,1,14,52,47,54,2,1,.312
 ,Mike Trout,10,140,471,101,147,24,4,39,79,122,124,24,2,.312
8,Scooter Gennett,7,154,584,86,181,30,3,23,92,42,125,4,2,.310
9,Michael Brantley,12,143,570,89,176,36,2,17,76,48,60,12,3,.309
 ,Freddie Freeman,11,162,618,94,191,44,4,23,98,76,132,10,3,.309
11,Lorenzo Cain,11,141,539,90,166,25,2,10,38,71,94,30,7,.308
 ,Anthony Rendon,8,136,529,88,163,44,2,24,92,55,82,2,1,.308
13,Wilson Ramos,11,111,382,39,117,22,1,15,70,32,80,0,0,.306
14,Ben Zobrist,14,139,455,67,139,28,3,9,58,55,60,3,4,.305
 ,Jose Martinez,5,152,534,64,163,30,0,17,83,49,104,0,3,.305
16,Jean Segura,9,144,586,91,178,29,3,10,63,32,69,20,11,.304
 ,Whit Merrifield,5,158,632,88,192,43,3,12,60,61,114,45,10,.304
18,Robinson Cano,16,80,310,44,94,22,0,10,50,32,47,0,0,.303
19,Adam Eaton,9,95,319,55,96,18,1,5,33,38,64,9,1,.301
20,Corey Dickerson,8,135,504,65,151,35,7,13,55,21,80,8,3,.300
 ,Joey Wendle,5,139,487,62,146,33,6,7,61,37,96,16,4,.300
22,Daniel Murphy,12,91,328,40,98,15,0,12,42,20,40,3,0,.299
 ,Jesse Winker,4,89,281,38,84,16,0,7,43,49,46,0,0,.299
24,Nick Castellanos,8,157,620,88,185,46,5,23,89,49,151,2,1,.298
25,Nick Markakis,15,162,623,78,185,43,2,14,93,72,80,1,1,.297
 ,Manny Machado,9,162,632,84,188,35,3,37,107,70,104,14,2,.297
 ,Nolan Arenado,8,156,590,104,175,38,2,38,110,73,122,2,2,.297
 ,Miguel Andujar,4,149,573,83,170,47,2,27,92,25,97,2,1,.297
29,David Freese,11,113,280,38,83,12,2,11,51,24,72,0,0,.296
 ,Mallex Smith,5,141,480,65,142,27,10,2,40,47,98,40,12,.296
31,Matt Duffy,5,132,503,59,148,22,1,4,44,47,93,12,6,.294
32,David Peralta,7,146,560,75,164,25,5,30,87,48,124,4,0,.293
 ,Ronald Acuna Jr.,3,111,433,78,127,26,4,26,64,45,123,16,5,.293
34,Andrelton Simmons,6,146,554,68,162,26,5,11,75,35,44,10,2,.292
 ,Juan Soto,3,116,414,77,121,25,1,22,70,79,99,5,2,.292
36,Charlie Blackmon,10,156,626,119,182,31,7,29,70,59,134,12,4,.291
 ,Trevor Story,5,157,598,88,174,42,6,37,108,47,168,27,6,.291
 ,Yuli Gurriel,5,136,537,70,156,33,1,13,85,23,63,5,1,.291
39,Matt Kemp,15,146,462,62,134,25,0,21,85,36,115,0,0,.290
 ,Paul Goldschmidt,10,158,593,95,172,35,5,33,83,90,173,7,4,.290
 ,Javier Baez,7,160,606,101,176,40,9,34,111,29,167,21,9,.290
 ,Andrew Benintendi,5,148,579,103,168,41,6,16,87,71,106,21,3,.290
43,Xander Bogaerts,8,136,513,72,148,45,3,23,103,55,102,8,2,.288
 ,Eddie Rosario,6,138,559,87,161,31,2,24,77,30,104,8,2,.288
 ,Jose Peraza,6,157,632,85,182,31,4,14,58,29,75,23,6,.288
 ,Jorge Polanco,7,77,302,38,87,18,3,6,42,25,62,7,7,.288
47,Albert Almora Jr.,5,152,444,62,127,24,1,5,41,24,83,1,3,.286
 ,Elias Diaz,6,82,252,33,72,12,0,10,34,21,40,0,1,.286
 ,Alex Bregman,5,157,594,105,170,51,1,31,103,96,85,10,4,.286
50,Mitch Haniger,4,157,596,90,170,38,4,26,93,70,148,8,2,.285
1,Mookie Betts,7,136,520,129,180,47,5,32,80,81,91,30,6,.346
2,J.D. Martinez,10,150,569,111,188,37,2,43,130,69,146,6,1,.330
3,Jeff McNeil,3,63,225,35,74,11,6,3,19,14,24,7,1,.329
4,Christian Yelich,8,147,574,118,187,34,7,36,110,68,135,22,4,.326
5,Jose Altuve,10,137,534,84,169,29,2,13,61,55,79,17,4,.316
6,Justin Turner,12,103,365,62,114,31,1,14,52,47,54,2,1,.312
 ,Mike Trout,10,140,471,101,147,24,4,39,79,122,124,24,2,.312
8,Scooter Gennett,7,154,584,86,181,30,3,23,92,42,125,4,2,.310
9,Michael Brantley,12,143,570,89,176,36,2,17,76,48,60,12,3,.309
 ,Freddie Freeman,11,162,618,94,191,44,4,23,98,76,132,10,3,.309
11,Lorenzo Cain,11,141,539,90,166,25,2,10,38,71,94,30,7,.308
 ,Anthony Rendon,8,136,529,88,163,44,2,24,92,55,82,2,1,.308
13,Wilson Ramos,11,111,382,39,117,22,1,15,70,32,80,0,0,.306
14,Ben Zobrist,14,139,455,67,139,28,3,9,58,55,60,3,4,.305
 ,Jose Martinez,5,152,534,64,163,30,0,17,83,49,104,0,3,.305
16,Jean Segura,9,144,586,91,178,29,3,10,63,32,69,20,11,.304
 ,Whit Merrifield,5,158,632,88,192,43,3,12,60,61,114,45,10,.304
18,Robinson Cano,16,80,310,44,94,22,0,10,50,32,47,0,0,.303
19,Adam Eaton,9,95,319,55,96,18,1,5,33,38,64,9,1,.301
20,Corey Dickerson,8,135,504,65,151,35,7,13,55,21,80,8,3,.300
 ,Joey Wendle,5,139,487,62,146,33,6,7,61,37,96,16,4,.300
22,Daniel Murphy,12,91,328,40,98,15,0,12,42,20,40,3,0,.299
 ,Jesse Winker,4,89,281,38,84,16,0,7,43,49,46,0,0,.299
24,Nick Castellanos,8,157,620,88,185,46,5,23,89,49,151,2,1,.298
25,Nick Markakis,15,162,623,78,185,43,2,14,93,72,80,1,1,.297
 ,Manny Machado,9,162,632,84,188,35,3,37,107,70,104,14,2,.297
 ,Nolan Arenado,8,156,590,104,175,38,2,38,110,73,122,2,2,.297
 ,Miguel Andujar,4,149,573,83,170,47,2,27,92,25,97,2,1,.297
29,David Freese,11,113,280,38,83,12,2,11,51,24,72,0,0,.296
 ,Mallex Smith,5,141,480,65,142,27,10,2,40,47,98,40,12,.296
31,Matt Duffy,5,132,503,59,148,22,1,4,44,47,93,12,6,.294
32,David Peralta,7,146,560,75,164,25,5,30,87,48,124,4,0,.293
 ,Ronald Acuna Jr.,3,111,433,78,127,26,4,26,64,45,123,16,5,.293
34,Andrelton Simmons,6,146,554,68,162,26,5,11,75,35,44,10,2,.292
 ,Juan Soto,3,116,414,77,121,25,1,22,70,79,99,5,2,.292
36,Charlie Blackmon,10,156,626,119,182,31,7,29,70,59,134,12,4,.291
 ,Trevor Story,5,157,598,88,174,42,6,37,108,47,168,27,6,.291
 ,Yuli Gurriel,5,136,537,70,156,33,1,13,85,23,63,5,1,.291
39,Matt Kemp,15,146,462,62,134,25,0,21,85,36,115,0,0,.290
 ,Paul Goldschmidt,10,158,593,95,172,35,5,33,83,90,173,7,4,.290
 ,Javier Baez,7,160,606,101,176,40,9,34,111,29,167,21,9,.290
 ,Andrew Benintendi,5,148,579,103,168,41,6,16,87,71,106,21,3,.290
43,Xander Bogaerts,8,136,513,72,148,45,3,23,103,55,102,8,2,.288
 ,Eddie Rosario,6,138,559,87,161,31,2,24,77,30,104,8,2,.288
 ,Jose Peraza,6,157,632,85,182,31,4,14,58,29,75,23,6,.288
 ,Jorge Polanco,7,77,302,38,87,18,3,6,42,25,62,7,7,.288
47,Albert Almora Jr.,5,152,444,62,127,24,1,5,41,24,83,1,3,.286
 ,Elias Diaz,6,82,252,33,72,12,0,10,34,21,40,0,1,.286
 ,Alex Bregman,5,157,594,105,170,51,1,31,103,96,85,10,4,.286
50,Mitch Haniger,4,157,596,90,170,38,4,26,93,70,148,8,2,.285
